% University Website Quality - CSE 4112 Machine Learning Laboratory, KUET
%
% 1225 university landing pages, 71 predictive attributes.
% 60 attributes are nominal {0,1} presence flags; 11 are numeric counts, percentages, ratios or z-scores.
% Identifier columns (uni_id, name, url, country, region) are excluded on purpose so no
% model can memorise a university; index_*.csv maps instance number back to the name.
% All 22 Bangladeshi universities are in the test split and none is in train.
% There are no missing values: they were imputed during dataset construction and every
% imputed column carries a companion *_was_missing flag.
%
% Relation: website_grade_test
% Instances: 244
% Target attribute: grade (nominal, worst to best: F < D < C < B < A < A+)

@relation website_grade_test

@attribute a01_logo {0,1}
@attribute a02_primary_nav {0,1}
@attribute a03_nav_item_count numeric
@attribute a04_search_bar {0,1}
@attribute a05_language_toggle {0,1}
@attribute a06_breadcrumb {0,1}
@attribute a07_qs_badge {0,1}
@attribute a09_national_rank {0,1}
@attribute a11_accreditation {0,1}
@attribute a12_accred_count numeric
@attribute a13_achievements {0,1}
@attribute a14_stats_block {0,1}
@attribute a15_stat_item_count numeric
@attribute a16_notice_board {0,1}
@attribute a17_notice_timestamp {0,1}
@attribute a20_news_events {0,1}
@attribute a21_calendar_link {0,1}
@attribute a22_admission_notice {0,1}
@attribute a23_upcoming_events {0,1}
@attribute a24_event_count numeric
@attribute a25_event_images {0,1}
@attribute a26_event_captions {0,1}
@attribute a27_event_datetime {0,1}
@attribute a28_contests {0,1}
@attribute a29_video_content {0,1}
@attribute a30_image_gallery {0,1}
@attribute a31_social_feed_embed {0,1}
@attribute a32_vision_mission {0,1}
@attribute a33_about_blurb {0,1}
@attribute a34_department_links {0,1}
@attribute a35_faculty_link {0,1}
@attribute a36_research_highlight {0,1}
@attribute a37_programs_listing {0,1}
@attribute a38_scholarship {0,1}
@attribute a39_library_link {0,1}
@attribute a40_career_link {0,1}
@attribute a41_alumni_link {0,1}
@attribute a42_faq_link {0,1}
@attribute a43_contact_link {0,1}
@attribute a44_student_portal {0,1}
@attribute a45_prospectus {0,1}
@attribute a46_admissions_policy {0,1}
@attribute a47_footer_contact {0,1}
@attribute a48_footer_sitemap {0,1}
@attribute a49_copyright_line {0,1}
@attribute a50_social_links {0,1}
@attribute a51_quick_links {0,1}
@attribute a53_contrast_ratio numeric
@attribute a53_contrast_ratio_was_missing {0,1}
@attribute a54_banner_carousel {0,1}
@attribute a57_logo_prominence {0,1}
@attribute a58_live_chat {0,1}
@attribute a59_feedback_form {0,1}
@attribute a60_trust_seal {0,1}
@attribute a61_testimonials {0,1}
@attribute a63_mobile_score numeric
@attribute a65_https {0,1}
@attribute a66_broken_links numeric
@attribute a67_gzip {0,1}
@attribute a69_title_meta {0,1}
@attribute a70_favicon {0,1}
@attribute a71_sitemap_robots {0,1}
@attribute a72_alt_text_pct numeric
@attribute a72_alt_text_pct_was_missing {0,1}
@attribute a73_accessible_design {0,1}
@attribute a74_a11y_toggle {0,1}
@attribute a75_bookmark {0,1}
@attribute broken_links_log numeric
@attribute load_time_z_region numeric
@attribute notice_recency_days numeric
@attribute notice_recency_days_was_missing {0,1}
@attribute grade {F,D,C,B,A,'A+'}

@data
1,1,8,1,0,0,0,1,1,1,1,1,5,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,13.33,0,1,1,0,0,0,0,75,1,0,1,1,1,1,44.4,0,1,0,0,0,0.648799,5,0,'A+'
1,1,3,1,1,0,0,1,0,0,1,1,9,1,1,1,1,1,1,4,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,12.63,0,1,1,0,0,1,0,90,1,0,0,1,1,0,67.6,0,1,1,0,0,-0.386909,0,0,'A+'
1,1,6,0,0,0,0,1,0,0,1,1,10,1,1,1,1,1,1,13,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,15.43,0,1,1,0,0,0,1,75,1,14,1,1,1,1,100,0,1,0,0,2.70805,0.757568,13,0,'A+'
1,1,4,1,1,0,0,1,0,0,1,1,4,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,8.49,0,1,1,1,0,1,1,100,1,0,1,1,1,0,61.5,0,1,1,0,0,-1.13475,0,0,'A+'
1,1,6,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,15.81,0,1,1,0,0,0,1,100,1,0,0,1,1,0,51.1,0,1,1,0,0,0.578985,12,0,'A+'
1,1,2,1,1,0,0,0,0,0,0,1,10,0,1,1,1,1,1,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,21,0,1,1,0,0,0,0,75,1,0,1,1,1,0,32.3,0,1,1,0,0,-0.986834,0,0,A
1,1,5,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,4,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,12.63,0,1,1,1,0,1,0,100,1,0,1,1,1,1,43.9,0,1,0,0,0,0.850771,0,0,A
1,1,11,1,0,0,0,1,1,1,1,1,10,1,1,1,0,1,1,20,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,14.53,0,1,1,0,0,1,0,75,1,0,1,1,1,1,39.4,0,1,0,0,0,-1.20932,4,0,A
0,1,1,1,0,1,0,0,0,0,0,1,10,0,1,1,1,1,1,5,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1.21,0,1,0,1,0,0,0,75,1,0,1,1,1,1,83.3,0,1,1,0,0,-0.434459,7,0,A
1,1,9,1,1,0,0,1,1,1,1,1,10,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,14.74,0,1,1,0,0,1,0,75,1,1,1,1,1,0,78.7,0,1,1,0,0.693147,0.394205,1,0,A
1,1,6,1,0,0,0,1,1,1,1,1,6,0,1,1,1,1,1,6,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,15.29,0,1,1,1,0,1,0,75,1,0,1,1,1,0,99.2,0,1,1,0,0,0.506431,11,0,A
1,1,12,1,0,1,0,1,1,1,1,1,10,0,1,1,0,1,1,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,18.42,0,1,1,1,0,0,1,75,1,0,1,1,1,1,76.7,0,1,1,0,0,0.372857,19,0,A
1,1,8,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,14,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,12.63,0,1,1,0,0,0,0,100,1,0,1,1,1,1,90.5,0,1,1,0,0,-1.48291,0,0,A
1,1,3,1,0,0,0,1,1,1,0,1,3,1,1,1,1,1,1,2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,21,0,1,0,0,0,1,0,75,1,0,1,1,1,1,75,0,1,1,0,0,-0.0381555,0,0,A
1,1,7,1,0,0,0,0,0,0,0,1,10,1,1,1,0,1,0,8,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,14.8,0,1,1,0,0,0,0,75,1,0,1,1,1,1,52,0,1,0,0,0,-0.0713231,1,0,A
1,1,6,0,0,0,0,0,0,0,1,1,10,1,1,1,1,1,1,20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,13.3,0,1,0,0,0,1,0,75,1,0,1,0,1,0,98.5,0,1,0,0,0,-0.0623612,30,0,A
1,1,5,1,0,1,0,0,0,0,1,1,10,0,1,1,1,1,1,20,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,2.41,0,1,0,0,0,1,0,75,1,0,1,0,1,0,98.4,0,1,1,0,0,-0.362988,0,0,A
1,1,2,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,15.43,0,1,1,0,0,0,0,100,1,0,1,1,1,0,77.5,0,1,0,0,0,-0.315535,10,0,A
0,1,4,1,0,0,0,1,1,3,1,1,6,1,1,1,1,1,1,15,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,12.63,0,1,0,0,0,1,1,75,1,0,1,0,1,1,69.2,0,1,1,0,0,-0.15251,4,0,A
1,1,6,1,0,0,1,1,0,0,1,1,2,0,0,1,1,1,1,3,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,15.41,0,1,1,0,0,0,0,75,1,0,1,1,0,1,100,0,1,1,0,0,-0.622853,3650,1,A
1,1,10,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,3,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,5.33,0,1,1,0,0,0,0,75,1,0,1,1,1,0,100,0,1,0,0,0,-0.941764,0,0,A
1,1,6,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,12.05,0,1,1,1,0,0,0,75,1,1,1,1,1,1,14.3,0,1,1,0,0.693147,-0.415133,3650,1,A
1,1,10,0,0,0,0,0,0,0,1,1,10,1,1,1,1,1,1,6,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,15.43,0,1,0,0,0,0,0,75,1,0,1,1,1,0,96.7,0,1,1,0,0,0.102374,0,0,A
1,1,8,0,0,0,0,1,0,0,1,1,9,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,15.43,0,1,0,0,0,1,0,75,1,1,1,0,1,0,34.8,0,1,0,0,0.693147,-1.05843,7,0,A
1,1,3,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,4,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,21,0,1,1,0,1,0,0,100,1,0,1,1,1,1,30.4,0,1,1,0,0,-0.538022,0,0,A
1,1,5,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,8.06,0,1,0,1,0,0,0,75,1,1,1,1,1,1,81.5,0,1,0,0,0.693147,-0.243391,0,0,A
1,1,9,1,0,0,0,0,1,1,1,1,10,1,1,1,1,1,1,6,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,5.59,0,1,1,0,0,1,0,90,1,0,1,1,1,0,100,0,1,0,0,0,-1.05485,13,0,A
0,1,7,1,1,1,0,1,0,1,1,1,10,0,1,1,1,1,1,3,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,21,0,1,0,0,0,1,0,90,1,0,1,1,1,1,69.2,0,1,1,0,0,-0.892504,0,0,A
1,1,3,0,1,0,0,1,1,1,1,1,7,0,1,1,1,1,1,11,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,18.73,0,1,0,0,0,1,1,75,1,0,1,1,1,1,67.9,0,1,1,0,0,0.645136,0,0,A
1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,16.24,0,1,0,1,0,0,1,100,1,0,1,0,1,1,91.7,0,1,1,0,0,0.446778,39,0,A
1,1,7,1,1,0,0,1,0,0,0,1,8,1,1,1,1,1,1,9,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,13.77,0,1,1,0,0,1,0,100,1,0,1,1,1,0,89.2,0,1,0,0,0,-1.35639,0,0,A
1,1,2,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,21,0,1,1,0,0,0,0,90,1,0,1,0,1,1,40,0,1,1,0,0,-0.205751,1,0,A
1,1,8,1,0,0,0,0,1,1,1,1,10,1,0,1,1,1,1,12,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,12.63,0,1,1,0,0,1,0,75,1,0,0,1,1,0,98.3,0,1,0,0,0,-0.856456,3650,1,A
1,1,9,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,12.18,0,1,1,0,0,0,0,90,1,0,1,0,1,0,61.9,0,1,1,0,0,-1.18102,68,0,A
1,1,8,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,9.28,0,1,0,0,0,0,0,100,1,0,1,1,1,1,81,0,1,1,0,0,-0.394014,0,0,A
1,1,20,0,0,0,1,1,1,0,1,1,6,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,12.23,0,1,1,0,0,0,0,75,1,0,1,0,1,1,91.4,0,1,0,0,0,-0.0889209,0,0,A
1,1,6,1,0,1,0,0,0,0,1,1,4,0,0,1,1,1,1,12,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,17.22,0,1,1,1,0,0,1,100,1,0,1,1,1,1,100,0,1,1,0,0,0.057554,3650,1,A
1,1,11,0,0,0,0,0,1,1,1,1,4,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,15.43,0,1,0,0,0,0,0,75,1,0,1,1,1,0,32,0,1,1,0,0,0.864295,0,0,A
1,1,6,0,1,0,0,1,1,0,1,1,6,0,1,1,1,1,1,9,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,5.89,0,1,1,1,0,0,0,90,1,0,1,1,1,1,13.3,0,1,1,0,0,0.170658,3650,1,A
1,1,3,1,1,0,0,0,1,0,1,1,10,0,1,1,0,1,1,6,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,13.97,0,1,1,1,1,0,0,75,1,0,1,0,1,0,38.9,0,1,1,0,0,0.43397,8,0,A
1,1,7,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,15.64,0,1,1,0,0,0,0,75,1,0,0,1,1,1,65.6,0,1,0,0,0,0.366908,0,0,A
1,1,11,1,0,0,0,0,0,0,0,1,10,1,1,1,1,1,1,6,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,21,0,1,1,0,0,0,0,75,1,0,1,1,1,1,45.5,0,1,0,0,0,-1.09819,8,0,A
1,1,5,1,0,0,0,0,0,0,1,1,10,1,1,1,0,1,1,8,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,12.63,0,1,1,0,0,1,0,75,1,0,1,0,1,1,91.7,0,1,0,0,0,-0.400142,3,0,A
1,1,9,1,1,0,0,0,0,0,0,1,2,0,1,1,0,1,1,8,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1.41,0,1,1,0,0,1,0,75,1,0,1,1,1,0,87.5,0,1,1,0,0,0.0902079,62,0,A
1,1,5,0,0,0,0,0,1,1,1,1,6,1,1,1,1,1,1,20,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,21,0,1,1,0,0,1,0,75,1,0,1,0,1,1,87.5,0,1,0,0,0,0.146532,2,0,A
1,1,9,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,16.3,0,1,1,0,0,0,0,75,1,0,1,1,1,1,100,0,1,1,0,0,-1.15042,3650,1,A
1,1,4,1,0,0,0,1,0,0,1,1,10,0,1,1,1,1,1,10,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,21,0,1,1,0,0,0,0,90,1,0,1,1,1,1,100,0,1,1,0,0,0.667858,0,0,A
1,1,20,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,20,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,12.63,0,1,1,0,0,0,0,75,1,3,0,1,1,1,51.6,0,1,1,0,1.38629,-0.827863,0,0,A
1,1,3,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,7,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1.7,0,1,1,0,0,0,0,90,1,0,1,1,1,1,74.4,0,1,1,0,0,-0.208444,6,0,A
1,1,9,1,0,0,0,0,0,0,1,1,8,1,1,1,0,1,1,2,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,5.74,0,1,1,0,0,1,0,75,1,1,0,1,1,1,53.8,0,1,0,0,0.693147,3.10232,0,0,A
1,1,4,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,3.36,0,1,1,0,0,0,0,100,1,0,1,1,1,1,85.7,0,1,1,0,0,-0.773793,3650,1,A
1,1,8,1,0,0,0,0,1,1,0,1,5,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,5.89,0,1,1,0,0,0,0,75,1,1,1,0,1,1,40.5,0,1,0,1,0.693147,-0.366016,0,0,A
0,1,3,1,0,0,0,0,0,0,1,1,4,1,1,1,1,1,1,2,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,21,0,1,0,1,0,0,0,90,1,0,1,1,1,1,83.3,0,1,1,0,0,0.307808,3,0,A
1,1,1,1,0,1,0,1,1,0,1,1,2,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,21,0,1,1,0,0,0,0,90,1,0,1,1,1,1,91.3,0,1,1,0,0,0.81598,11,0,A
1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,14.95,0,1,1,0,0,0,0,90,1,0,1,1,1,0,100,0,1,0,0,0,-0.168285,0,0,A
1,1,0,1,1,1,0,0,0,0,0,1,3,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,12.82,0,1,1,0,0,0,0,90,1,0,1,0,0,0,77.4,0,1,1,0,0,1.60337,3650,1,A
1,1,11,1,0,0,0,1,0,0,0,1,6,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,21,0,1,0,0,0,0,0,75,1,0,1,1,1,1,100,0,1,0,0,0,-0.0069606,2,0,A
1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,15.43,0,1,1,0,0,0,0,75,1,0,1,1,1,1,84.2,0,1,0,0,0,-0.67356,20,0,A
1,1,6,0,0,0,1,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,21,0,1,0,1,0,0,0,90,1,0,1,1,1,0,93,0,1,0,0,0,-0.170555,3,0,A
1,1,11,0,0,0,0,0,0,0,0,1,10,1,1,1,1,1,0,20,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,15.43,0,1,1,0,0,0,0,75,1,2,1,1,1,1,95.2,0,1,0,0,1.09861,-1.0133,0,0,A
1,1,5,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,21,0,1,0,0,0,1,0,75,1,0,1,1,1,1,16.7,0,1,1,0,0,-1.20047,0,0,A
